127.0.0.1 - - [02/Dec/2018:14:16:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:16:23 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:16:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:17:01 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:21:01 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:21:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:46:59 +0530] "GET /InteractionFrontEnd/views/index.html HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:46:59 +0530] "GET /InteractionFrontEnd/views/RouteConfig.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:46:59 +0530] "GET /InteractionFrontEnd/views/RouteConfig.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:56:17 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [02/Dec/2018:14:56:52 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
